Company,Ticker,Unnamed: 2,Exchange,Sector,Market Cap $bn
NVIDIA Corp,NVDA,🇺🇸,NASDAQ,Technology Hardware & Equipment,3462.8
Microsoft Corporation,MSFT,🇺🇸,NASDAQ,Software & Computer Services,3447.7
Apple Inc,AAPL,🇺🇸,NASDAQ,Technology Hardware & Equipment,3029.3
Amazon.com Inc.,AMZN,🇺🇸,NASDAQ,Retailers,2200.0
Meta Platforms Inc - Class A Shares,META,🇺🇸,NASDAQ,Media,1493.6
Broadcom Inc,AVGO,🇺🇸,NASDAQ,Technology Hardware & Equipment,1227.6
Alphabet Inc - Class C Shares,GOOG,🇺🇸,NASDAQ,Software & Computer Services,931.1
NetFlix Inc,NFLX,🇺🇸,NASDAQ,Media,527.6
Costco Wholesale Corp,COST,🇺🇸,NASDAQ,Retailers,466.6
"Cisco Systems, Inc.",CSCO,🇺🇸,NASDAQ,Technology Hardware & Equipment,255.0
Intuit Inc,INTU,🇺🇸,NASDAQ,Software & Computer Services,213.9
Intuitive Surgical Inc,ISRG,🇺🇸,NASDAQ,Health Care Equipment & Services,200.0
Booking Holdings Inc,BKNG,🇺🇸,NASDAQ,Travel & Leisure,180.8
Adobe Inc,ADBE,🇺🇸,NASDAQ,Software & Computer Services,176.4
"Qualcomm, Inc.",QCOM,🇺🇸,NASDAQ,Technology Hardware & Equipment,163.7
AMGEN Inc.,AMGN,🇺🇸,NASDAQ,Pharmaceuticals & Biotechnology,154.3
"Gilead Sciences, Inc.",GILD,🇺🇸,NASDAQ,Pharmaceuticals & Biotechnology,135.6
Automatic Data Processing Inc.,ADP,🇺🇸,NASDAQ,Software & Computer Services,132.4
Applied Materials Inc.,AMAT,🇺🇸,NASDAQ,Technology Hardware & Equipment,129.9
Comcast Corp - Class A Shares,CMCSA,🇺🇸,NASDAQ,Media,128.3
Micron Technology Inc.,MU,🇺🇸,NASDAQ,Technology Hardware & Equipment,115.4
"Vertex Pharmaceuticals, Inc.",VRTX,🇺🇸,NASDAQ,Pharmaceuticals & Biotechnology,114.0
Analog Devices Inc.,ADI,🇺🇸,NASDAQ,Electronic & Electrical Equipment,108.4
Lam Research Corp.,LRCX,🇺🇸,NASDAQ,Technology Hardware & Equipment,108.4
KLA Corp.,KLAC,🇺🇸,NASDAQ,Technology Hardware & Equipment,103.4
Starbucks Corp.,SBUX,🇺🇸,NASDAQ,Food and Drug Retailers,100.1
"Fiserv, Inc.",FISV,🇺🇸,NASDAQ,Software & Computer Services,91.0
