#,Company,Symbol,Weight,Price,Chg,% Chg
1,Microsoft,MSFT,6.50%,470.84,3.16,0.68
2,Nvidia,NVDA,6.44%,142.1,2.11,1.51
3,Apple Inc.,AAPL,5.63%,202.99,2.36,1.18
4,Amazon,AMZN,4.18%,211.88,3.97,1.91
5,Meta Platforms,META,3.25%,695.33,10.71,1.56
6,Broadcom,AVGO,2.19%,251.17,-8.76,3.37
7,Alphabet Inc. (Class A),GOOGL,2.01%,172.97,4.75,2.83
8,Berkshire Hathaway,BRK.B,1.98%,493.19,4.45,0.91
9,Alphabet Inc. (Class C),GOOG,1.90%,174.41,4.6,2.71
10,"Tesla, Inc.",TSLA,1.80%,300.66,15.96,5.61
11,Walmart,WMT,1.45%,97.38,-0.58,0.6
12,JPMorgan Chase,JPM,1.37%,265.93,3.98,1.52
13,Visa Inc.,V,1.31%,369.19,2.42,0.66
14,Lilly (Eli),LLY,1.28%,768.4,2.72,0.35
15,Mastercard,MA,0.99%,587.77,2.33,0.4
16,Netflix,NFLX,0.98%,1241.06,-9.46,0.76
17,Oracle Corporation,ORCL,0.91%,173.72,2.58,1.5
18,ExxonMobil,XOM,0.84%,104.33,2.5,2.46
19,Costco,COST,0.83%,1012.79,1.98,0.2
20,Procter & Gamble,PG,0.71%,164.1,1.29,0.8
21,Johnson & Johnson,JNJ,0.69%,154.81,1.15,0.75
22,Home Depot (The),HD,0.68%,368.74,-0.54,0.15
23,Bank of America,BAC,0.63%,44.86,0.47,1.07
24,AbbVie,ABBV,0.62%,190.33,2.86,1.52
25,Coca-Cola Company (The),KO,0.57%,71.06,0.15,0.21
26,Palantir Technologies,PLTR,0.55%,124.74,4.83,4.03
27,Philip Morris International,PM,0.53%,181.57,-0.39,0.21
28,T-Mobile US,TMUS,0.52%,244.88,-0.03,0.01
29,GE Aerospace,GE,0.51%,256.05,4.13,1.64
30,UnitedHealth Group,UNH,0.51%,299.73,3.89,1.31
31,Cisco,CSCO,0.49%,65.91,1.29,2.0
32,Salesforce,CRM,0.48%,272.42,5.28,1.98
33,IBM,IBM,0.46%,268.61,1.75,0.65
34,Wells Fargo,WFC,0.46%,76.08,1.17,1.57
35,Chevron Corporation,CVX,0.45%,140.18,3.28,2.4
36,Abbott Laboratories,ABT,0.43%,133.88,-0.06,0.05
37,Linde plc,LIN,0.41%,472.64,2.38,0.51
38,McDonald's,MCD,0.41%,308.27,-0.71,0.23
39,Intuit,INTU,0.40%,767.57,0.93,0.12
40,ServiceNow,NOW,0.40%,1030.79,13.19,1.3
41,Morgan Stanley,MS,0.39%,131.51,0.88,0.68
42,American Express,AXP,0.39%,300.36,4.4,1.49
43,Walt Disney Company (The),DIS,0.38%,113.87,1.34,1.19
44,AT&T,T,0.37%,27.98,0.21,0.77
45,Intuitive Surgical,ISRG,0.37%,560.3,2.24,0.4
46,Accenture,ACN,0.37%,318.36,2.98,0.95
47,Merck & Co.,MRK,0.37%,79.0,1.38,1.78
48,Advanced Micro Devices,AMD,0.35%,116.29,0.6,0.52
49,Goldman Sachs,GS,0.35%,612.18,6.3,1.04
50,RTX Corporation,RTX,0.35%,138.97,-0.1,0.07
51,Verizon,VZ,0.34%,43.63,0.33,0.76
52,Booking Holdings,BKNG,0.34%,5619.82,49.3,0.89
53,Uber,UBER,0.33%,85.63,0.96,1.13
54,PepsiCo,PEP,0.33%,129.7,-1.41,1.07
55,Adobe Inc.,ADBE,0.33%,416.73,1.53,0.37
56,Texas Instruments,TXN,0.33%,194.26,3.77,1.98
57,Caterpillar Inc.,CAT,0.31%,353.93,4.97,1.42
58,Qualcomm,QCOM,0.31%,150.41,2.85,1.93
59,Progressive Corporation,PGR,0.31%,280.57,0.37,0.13
60,Charles Schwab Corporation,SCHW,0.30%,88.01,0.77,0.89
61,S&P Global,SPGI,0.30%,519.07,3.31,0.64
62,Boeing,BA,0.29%,209.39,0.37,0.18
63,Amgen,AMGN,0.29%,290.81,3.71,1.29
64,BlackRock,BLK,0.29%,994.67,9.2,0.93
65,Thermo Fisher Scientific,TMO,0.28%,406.02,7.66,1.92
66,Boston Scientific,BSX,0.28%,102.16,-0.67,0.65
67,NextEra Energy,NEE,0.28%,71.9,0.4,0.56
68,Stryker Corporation,SYK,0.27%,385.45,2.35,0.61
69,Honeywell,HON,0.27%,228.8,2.13,0.94
70,Citigroup,C,0.27%,78.0,1.33,1.73
71,TJX Companies,TJX,0.27%,128.22,0.85,0.66
72,Deere & Company,DE,0.26%,522.21,11.46,2.24
73,Danaher Corporation,DHR,0.26%,196.51,4.36,2.27
